Comment,Designator,Footprint,LCSC
1K,"R15,R9",R_0402_1005Metric,C11702
B5817WS,D1,D_SOD-323,C122854
2u2,"C12,C9",C_0402_1005Metric,C12530
100n,"C10,C11,C13,C14,C15,C16,C17,C18,C4,C8",C_0402_1005Metric,C1525
15p,"C6,C7",C_0402_1005Metric,C1548
USB_C_Receptacle_USB2.0,J1,USB-C_MID_MOUNT_918-418K2024S40000,C168688
RP2040,U3,RP2040-QFN-56,C2040
500mA,F1,Fuse_0603_1608Metric,C210357
4u7,"C1,C19,C2,C3,C5",C_0402_1005Metric,C23733
27R,"R7,R8",R_0402_1005Metric,C25100
51K,"R11,R13,R14",R_0402_1005Metric,C25794
2K2,"R16,R3",R_0402_1005Metric,C25879
5K1,"R1,R10,R12,R17,R2,R4,R5,R6",R_0402_1005Metric,C25905
12MHz,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C2C2149204149205
GD25Q64CWIGR,U2,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,C395511
74LVC1T45Z6-7,U4,SOT-563,C441819
2N7002VC-7,"Q1,Q2",SOT-563,C504145
LED,D2,LED_0603_1608Metric,C72041
ME6211C33M5G-N,U1,SOT-23-5,C82942
