Item,Qty,Reference(s),Value,Footprint,JLC Basic,LCSC,MPN ,Manufacturer,MPN2,LCSC2,Manufacturer2,Substitute
1,5,"C1, C2, C3, C5, C19",4u7,Capacitor_SMD:C_0402_1005Metric,Y,C23733,CL05A475MP5NRNC,Samsung Electro-Mechanics,,,,Y
2,10,"C4, C8, C10, C11, C13, C14, C15, C16, C17, C18",100n,Capacitor_SMD:C_0402_1005Metric,Y,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,,,,Y
3,2,"C6, C7",15p,Capacitor_SMD:C_0402_1005Metric,Y,C1548,0402CG150J500NT,FH(Guangdong Fenghua Advanced Tech),,,,Y
4,2,"C9, C12",1u,Capacitor_SMD:C_0402_1005Metric,Y,C52923,CL05A105KA5NQNC,Samsung Electro-Mechanics,,,,Y
5,1,D1,B5817WS,josh-passives-smt:D_SOD-323,N,C122854,B5817WS,Shikues,,,,N
6,1,D2,LED,LED_SMD:LED_0603_1608Metric,Y,C72041,19-217/BHC-ZL1M2RY/3T,Everlight Elec,,,,Y - Any Pink
7,1,F1,500mA,josh-passives-smt:Fuse_0603_1608Metric,N,C210357,MF-FSMF050X-2,BOURNS,,,,Y
8,1,J1,USB_C_Receptacle_USB2.0,josh-connectors:USB-C_MID_MOUNT_918-418K2024S40000,N,C168688,918-418K2024S40000,Jing Extension of the Electronic Co,,,,Y
9,2,"Q1, Q2",2N7002VC-7,josh-soic-sot-etc:SOT-563,N,C504145,2N7002V,Changjiang Electronics Tech (CJ) ,,,,Y
10,8,"R1, R2, R4, R5, R6, R10, R12, R17",5K1,Resistor_SMD:R_0402_1005Metric,Y,C25905,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),,,,Y
11,2,"R3, R16",2K2,Resistor_SMD:R_0402_1005Metric,Y,C25879,0402WGF2201TCE,UNI-ROYAL(Uniroyal Elec),,,,Y
12,2,"R7, R8",27R,Resistor_SMD:R_0402_1005Metric,N,C25100,0402WGF270JTCE,UNI-ROYAL(Uniroyal Elec),,,,Y
13,2,"R9, R15",1K,Resistor_SMD:R_0402_1005Metric,Y,C11702,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),,,,Y
14,3,"R11, R13, R14",51K,Resistor_SMD:R_0402_1005Metric,Y,C25794,0402WGF5102TCE,UNI-ROYAL(Uniroyal Elec),,,,Y
15,1,U1,XC6210B332MR-G,josh-soic-sot-etc:SOT-23-5,N,C47719,XC6210B332MR-G,Torex Semiconductor,,,,N
16,1,U2,GD25Q64CWIGR,josh-dfn-qfn:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,N,C395511,GD25Q64CWIGR,GigaDevice Semicon Beijing ,W25Q64JVZPIQ,C2940197,Winbond,N
17,1,U3,RP2040,josh-dfn-qfn:RP2040-QFN-56,N,C2040,RP2040,Raspberry Pi ,,,,N
18,1,U4,74LVC1T45,josh-soic-sot-etc:SOT-563,N,C352970,SN74LVC1T45DRLR,Texas Instruments,,,,N
19,1,Y1,12MHz,josh-oscillators:Crystal_SMD_2520-4Pin_2.5x2.0mm,N,C2149204,2TJ412000HYGBC,JYJE,2TJ412000NYGBC,C2149205,JYJE,N
