Item,Qty,Reference(s),Value,Footprint,JLC Basic,MPN ,Manufacturer,LCSC,Substitute
1,4,"C1, C2, C3, C5",4u7,Capacitor_SMD:C_0402_1005Metric,Y,CL05A475MP5NRNC,Samsung Electro-Mechanics,C23733,Y
2,10,"C4, C8, C10, C11, C13, C14, C15, C16, C17, C18",100n,Capacitor_SMD:C_0402_1005Metric,Y,CL05B104KO5NNNC,Samsung Electro-Mechanics,C1525,Y
3,2,"C6, C7",15p,Capacitor_SMD:C_0402_1005Metric,Y,0402CG150J500NT,FH(Guangdong Fenghua Advanced Tech),C1548,Y
4,2,"C9, C12",1u,Capacitor_SMD:C_0402_1005Metric,Y,CL05A105KA5NQNC,Samsung Electro-Mechanics,C52923,Y
5,1,C19,10u,Capacitor_SMD:C_0402_1005Metric,Y,CL05A106MQ5NUNC,Samsung Electro-Mechanics,C15525,Y
6,1,D1,B5817WS,josh-passives-smt:D_SOD-323,N,B5817WS,Shikues,C122854,N
7,1,D2,LED,LED_SMD:LED_0603_1608Metric,Y,OSK40603C1E,OptoSupply,C268294,Y - any pink
8,1,D3,WS2812C-2020,josh-led:WS2812C-2020,N,WS2812C-2020,Worldsemi ,C965556,N
9,1,F1,500mA,josh-passives-smt:Fuse_0603_1608Metric,N,MF-FSMF050X-2,BOURNS,C210357,Y
10,1,J1,USB_C_Receptacle_USB2.0,josh-connectors:USB-C_MID_MOUNT_918-418K2024S40000,N,918-418K2024S40000,Jing Extension of the Electronic Co,C168688,Y
11,2,"Q1, Q2",2N7002VC-7,josh-soic-sot-etc:SOT-563,N,2N7002V,Changjiang Electronics Tech (CJ) ,C504145,Y
12,8,"R1, R2, R4, R5, R6, R10, R12, R17",5K1,Resistor_SMD:R_0402_1005Metric,Y,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),C25905,Y
13,2,"R3, R16",2K2,Resistor_SMD:R_0402_1005Metric,Y,0402WGF2201TCE,UNI-ROYAL(Uniroyal Elec),C25879,Y
14,2,"R7, R8",27R,Resistor_SMD:R_0402_1005Metric,N,0402WGF270JTCE,UNI-ROYAL(Uniroyal Elec),C25100,Y
15,2,"R9, R15",1K,Resistor_SMD:R_0402_1005Metric,Y,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),C11702,Y
16,3,"R11, R13, R14",51K,Resistor_SMD:R_0402_1005Metric,Y,0402WGF5102TCE,UNI-ROYAL(Uniroyal Elec),C25794,Y
17,1,SW1,SWITCH,josh-buttons-switches:SW_Push_KMR2,N,TS-1185EC-C-D-B,XKB Connectivity,C318893,Y
18,1,U1,XC6210B332MR-G,josh-soic-sot-etc:SOT-23-5,N,XC6210B332MR-G,Torex Semiconductor,C47719,N
19,1,U2,GD25Q64CWIGR,josh-dfn-qfn:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,N,GD25Q64CWIGR,GigaDevice Semicon Beijing ,C395511,N
20,1,U3,RP2040,josh-dfn-qfn:RP2040-QFN-56,N,RP2040,Raspberry Pi ,C2040,N
21,1,Y1,12MHz,josh-oscillators:Crystal_SMD_2520-4Pin_2.5x2.0mm,N,2TJ412000HYGBC,JYJE,C2149204,N
